date	comment	submission
2022-02-24	114513	7602
2022-02-25	179629	10264
2022-02-26	205638	13258
2022-02-27	238350	14039
2022-02-28	223399	10755
2022-03-01	213212	9649
2022-03-02	187854	7863
2022-03-03	169582	7190
2022-03-04	171047	6416
2022-03-05	173299	6393
2022-03-06	143611	5844
2022-03-07	138933	5019
2022-03-08	136063	4890
2022-03-09	121483	4357
2022-03-10	116553	4319
2022-03-11	109933	3965
2022-03-12	101961	3901
2022-03-13	106484	4012
2022-03-14	114068	3829
2022-03-15	117387	3934
2022-03-16	113048	3843
2022-03-17	115725	3977
2022-03-18	103901	3797
2022-03-19	89670	3674
2022-03-20	95522	3743
2022-03-21	95961	3281
2022-03-22	95859	3307
2022-03-23	94567	3395
2022-03-24	102722	3575
2022-03-25	103428	3597
2022-03-26	92933	3642
2022-03-27	93081	3292
2022-03-28	80035	3174
2022-03-29	79892	2918
2022-03-30	77846	2756
2022-03-31	74857	2611
2022-04-01	84671	3322
2022-04-02	70172	2892
2022-04-03	82043	3059
2022-04-04	89915	2982
2022-04-05	92852	3019
2022-04-06	84848	2895
2022-04-07	81802	2639
2022-04-08	89481	2794
2022-04-09	78504	2578
2022-04-10	66968	2253
2022-04-11	81167	2526
2022-04-12	79661	2486
2022-04-13	82318	2296
2022-04-14	87016	2505
2022-04-15	79207	2611
2022-04-16	63118	2088
2022-04-17	61653	2380
2022-04-18	63792	2522
2022-04-19	73623	2415
2022-04-20	68628	2220
2022-04-21	75702	2224
2022-04-22	69624	2055
2022-04-23	60828	1939
2022-04-24	59034	1869
2022-04-25	68900	2092
2022-04-26	67599	2017
2022-04-27	67031	1913
2022-04-28	68737	1932
2022-04-29	66603	1948
2022-04-30	55840	1735
2022-05-01	55561	1796
2022-05-02	57942	1973
2022-05-03	58945	1744
2022-05-04	56537	1638
2022-05-05	52566	1558
2022-05-06	55735	1737
2022-05-07	47879	1679
2022-05-08	53169	1765
2022-05-09	50530	1637
2022-05-10	52066	1553
2022-05-11	53406	1470
2022-05-12	54883	1675
2022-05-13	53326	1554
2022-05-14	50030	1493
2022-05-15	42374	1388
2022-05-16	45439	1368
2022-05-17	44623	1359
2022-05-18	39750	1279
2022-05-19	37357	1324
2022-05-20	38890	1466
2022-05-21	35938	1362
2022-05-22	30502	1254
2022-05-23	33251	1273
2022-05-24	35282	1235
2022-05-25	35529	1106
2022-05-26	36225	1159
2022-05-27	33484	1126
2022-05-28	29253	1126
2022-05-29	26532	1098
2022-05-30	31667	1219
2022-05-31	30734	1067
2022-06-01	34955	1142
2022-06-02	31082	1143
2022-06-03	29968	1111
2022-06-04	27694	1106
2022-06-05	31896	1164
2022-06-06	33539	1021
2022-06-07	29072	958
2022-06-08	29777	910
2022-06-09	32184	1032
2022-06-10	29213	958
2022-06-11	25152	931
2022-06-12	23445	911
2022-06-13	23864	917
date	comment	submission
2022-02-24	114513	7602
2022-02-25	179629	10264
2022-02-26	205638	13258
2022-02-27	238350	14039
2022-02-28	223399	10755
2022-03-01	213212	9649
2022-03-02	187854	7863
2022-03-03	169582	7190
2022-03-04	171047	6416
2022-03-05	173299	6393
2022-03-06	143611	5844
2022-03-07	138933	5019
2022-03-08	136063	4890
2022-03-09	121483	4357
2022-03-10	116553	4319
2022-03-11	109933	3965
2022-03-12	101961	3901
2022-03-13	106484	4012
2022-03-14	114068	3829
2022-03-15	117387	3934
2022-03-16	113048	3843
2022-03-17	115725	3977
2022-03-18	103901	3797
2022-03-19	89670	3674
2022-03-20	95522	3743
2022-03-21	95961	3281
2022-03-22	95859	3307
2022-03-23	94567	3395
2022-03-24	102722	3575
2022-03-25	103428	3597
2022-03-26	92933	3642
2022-03-27	93081	3292
2022-03-28	80035	3174
2022-03-29	79892	2918
2022-03-30	77846	2756
2022-03-31	74857	2611
2022-04-01	84671	3322
2022-04-02	70172	2892
2022-04-03	82043	3059
2022-04-04	89915	2982
2022-04-05	92852	3019
2022-04-06	84848	2895
2022-04-07	81802	2639
2022-04-08	89481	2794
2022-04-09	78504	2578
2022-04-10	66968	2253
2022-04-11	81167	2526
2022-04-12	79661	2486
2022-04-13	82318	2296
2022-04-14	87016	2505
2022-04-15	79207	2611
2022-04-16	63118	2088
2022-04-17	61653	2380
2022-04-18	63792	2522
2022-04-19	73623	2415
2022-04-20	68628	2220
2022-04-21	75702	2224
2022-04-22	69624	2055
2022-04-23	60828	1939
2022-04-24	59034	1869
2022-04-25	68900	2092
2022-04-26	67599	2017
2022-04-27	67031	1913
2022-04-28	68737	1932
2022-04-29	66603	1948
2022-04-30	55840	1735
2022-05-01	55561	1796
2022-05-02	57942	1973
2022-05-03	58945	1744
2022-05-04	56537	1638
2022-05-05	52566	1558
2022-05-06	55735	1737
2022-05-07	47879	1679
2022-05-08	53169	1765
2022-05-09	50530	1637
2022-05-10	52066	1553
2022-05-11	53406	1470
2022-05-12	54883	1675
2022-05-13	53326	1554
2022-05-14	50030	1493
2022-05-15	42374	1388
2022-05-16	45439	1368
2022-05-17	44623	1359
2022-05-18	39750	1279
2022-05-19	37357	1324
2022-05-20	38890	1466
2022-05-21	35938	1362
2022-05-22	30502	1254
2022-05-23	33251	1273
2022-05-24	35282	1235
2022-05-25	35529	1106
2022-05-26	36225	1159
2022-05-27	33484	1126
2022-05-28	29253	1126
2022-05-29	26532	1098
2022-05-30	31667	1219
2022-05-31	30734	1067
2022-06-01	34955	1142
2022-06-02	31082	1143
2022-06-03	29968	1111
2022-06-04	27694	1106
2022-06-05	31896	1164
2022-06-06	33539	1021
2022-06-07	29072	958
2022-06-08	29777	910
2022-06-09	32184	1032
2022-06-10	29213	958
2022-06-11	25152	931
2022-06-12	23445	911
2022-06-13	23864	917
